UniqueID,LP,miRNA,RC,smallRNA,miRNAvsRC,miRNAvsLP,smallRNAvsRC,smallRNAvsLP,Id,Femto_conc,RNA_ID,EVE_ID,PROJECT,RUN_ID,RNAID,Tube,TechnicalReplicate,GraphKit,GraphTube
RNA004895L1,16068,99003,1052,687078,94.1093155893536,6.16150112023898,653.115969581749,42.760642270351,EVE57,0.0314,RNA004895,EVE57,exRNAQC005,2,RNA004895,DNA Streck,TUBE2,MIR0.2,STRD24
RNA004896L1,16436,1861116,8117,9256385,229.286189478872,113.234120223899,1140.37021066897,563.177476271599,EVE58,0.1304,RNA004896,EVE58,exRNAQC005,2,RNA004896,Biomatrica,TUBE1,MIR0.2,BMTR72
RNA004897L1,8854,1193747,2839,1344457,420.481507573089,134.825728484301,473.567101091934,151.847413598374,EVE59,0.0493,RNA004897,EVE59,exRNAQC005,2,RNA004897,EDTA,TUBE2,MIR0.2,EDTA00
RNA004898L1,30297,183255,8473,547639,21.6281128289862,6.04861867511635,64.6334238168299,18.0756840611282,EVE60,0.0503,RNA004898,EVE60,exRNAQC005,2,RNA004898,Citrate,TUBE3,MIR0.2,CITR16
RNA004900L1,18416,35409,12088,205364,2.92926869622766,1.92273023457863,16.9890800794176,11.1513900955691,EVE62,0.0469,RNA004900,EVE62,exRNAQC005,2,RNA004900,RNA Streck,TUBE2,MIR0.2,STRR00
RNA004901L1,22361,80141,15723,1794837,5.09705526935063,3.58396315012745,114.153596641862,80.2664013237333,EVE63,0.0526,RNA004901,EVE63,exRNAQC005,2,RNA004901,RNA Streck,TUBE1,MIR0.2,STRR24
RNA004902L1,24737,979212,12045,2408938,81.2961394769614,39.5849132877875,199.994852635949,97.3819784129037,EVE64,0.0728,RNA004902,EVE64,exRNAQC005,2,RNA004902,Paxgene,TUBE1,MIR0.2,PAXC00
RNA004903L1,21174,672661,16661,3493163,40.3733869515635,31.768253518466,209.661064762019,164.974166430528,EVE65,0.1737,RNA004903,EVE65,exRNAQC005,2,RNA004903,serum,TUBE2,MIR0.2,SERM00
RNA004904L1,6152,20855,143,85972,145.839160839161,3.3899544863459,601.202797202797,13.9746423927178,EVE66,0.2,RNA004904,EVE66,exRNAQC005,2,RNA004904,DNA Streck,TUBE1,MIR0.2,STRD00
RNA004905L1,286,74972,415,452771,180.655421686747,262.13986013986,1091.01445783133,1583.11538461538,EVE1,0.6052,RNA004905,EVE1,exRNAQC005,3,RNA004905,Paxgene,TUBE1,MIR0.2,PAXC72
RNA004906L1,25918,9276586,32964,32793419,281.415665574566,357.920595724979,994.825233588157,1265.27583146848,EVE2,0.2775,RNA004906,EVE2,exRNAQC005,3,RNA004906,Roche,TUBE1,MIR0.2,ROCH72
RNA004908L1,14806,99635,6976,292429,14.2825401376147,6.72936647305147,41.9192947247706,19.7507091719573,EVE4,0.0309,RNA004908,EVE4,exRNAQC005,3,RNA004908,ACD-A,TUBE2,MIR0.2,ACDA04
RNA004909L1,14979,140057,2443,231800,57.3299222267704,9.35022364643835,94.8833401555465,15.4749983309967,EVE5,0.0202,RNA004909,EVE5,exRNAQC005,3,RNA004909,DNA Streck,TUBE2,MIR0.2,STRD00
RNA004910L1,20647,389505,4869,659532,79.9969192852742,18.8649682762629,135.455329636476,31.9432363055165,EVE6,0.0261,RNA004910,EVE6,exRNAQC005,3,RNA004910,EDTA,TUBE2,MIR0.2,EDTA16
RNA004911L1,34168,39124,18792,252697,2.08194976585781,1.1450479981269,13.4470519369945,7.39572114258956,EVE7,0.0393,RNA004911,EVE7,exRNAQC005,3,RNA004911,RNA Streck,TUBE3,MIR0.2,STRR00
RNA004912L1,27369,991527,12133,1332608,81.7215033380038,36.228104790091,109.833347069974,48.6904161642735,EVE8,0.0442,RNA004912,EVE8,exRNAQC005,3,RNA004912,EDTA,TUBE1,MIR0.2,EDTA16
RNA004913L1,848,23795,509,665247,46.7485265225933,28.060141509434,1306.96856581532,784.489386792453,EVE9,0.1863,RNA004913,EVE9,exRNAQC005,3,RNA004913,RNA Streck,TUBE3,MIR0.2,STRR72
RNA004914L1,9263,954295,4504,1127573,211.877220248668,103.022239015438,250.349245115453,121.728705602936,EVE10,0.0526,RNA004914,EVE10,exRNAQC005,3,RNA004914,EDTA separator,TUBE3,MIR0.2,EDTG16
RNA004917L1,17739,235284,1533,1888659,153.479452054795,13.2636563504143,1232.00195694716,106.46930492136,EVE13,0.024,RNA004917,EVE13,exRNAQC005,3,RNA004917,DNA Streck,TUBE1,MIR0.2,STRD24
RNA004918L1,21150,98557,4447,293165,22.1625815156285,4.65990543735225,65.9242185743198,13.8612293144208,EVE14,0.026,RNA004918,EVE14,exRNAQC005,3,RNA004918,ACD-A,TUBE1,MIR0.2,ACDA04
RNA004919L1,27621,228794,1417,1311471,161.463655610445,8.2833351435502,925.526464361327,47.4809384164223,EVE15,0.0327,RNA004919,EVE15,exRNAQC005,3,RNA004919,DNA Streck,TUBE3,MIR0.2,STRD24
RNA004920L1,31248,69124,4513,155038,15.3166408154221,2.2121095750128,34.3536450254819,4.96153353814644,EVE16,0.0244,RNA004920,EVE16,exRNAQC005,3,RNA004920,Citrate,TUBE3,MIR0.2,CITR04
RNA004921L1,16862,2460633,6659,5476101,369.519897882565,145.927707270786,822.360864994744,324.759874273514,EVE17,0.0657,RNA004921,EVE17,exRNAQC005,3,RNA004921,Roche,TUBE1,MIR0.2,ROCH24
RNA004922L1,20115,30509,4633,81994,6.58515001079214,1.51672880934626,17.6978199870494,4.07626149639572,EVE18,0.0188,RNA004922,EVE18,exRNAQC005,3,RNA004922,Biomatrica,TUBE2,MIR0.2,BMTR24
RNA004923L1,32394,3252835,9146,7845307,355.656571178657,100.41473729703,857.785589328668,242.183953818608,EVE19,0.1121,RNA004923,EVE19,exRNAQC005,3,RNA004923,Roche,TUBE3,MIR0.2,ROCH72
RNA004924L1,12589,317147,3179,2421175,99.7631330607109,25.1923901819048,761.61528782636,192.324648502661,EVE20,0.0715,RNA004924,EVE20,exRNAQC005,3,RNA004924,Biomatrica,TUBE2,MIR0.2,BMTR72
RNA004925L1,32268,44457,11382,790611,3.90590405904059,1.37774265526218,69.4615181866104,24.5013945704723,EVE21,0.0168,RNA004925,EVE21,exRNAQC005,3,RNA004925,RNA Streck,TUBE3,MIR0.2,STRR24
RNA004926L1,12113,212714,728,1290823,292.18956043956,17.5608024436556,1773.10851648352,106.565095352101,EVE22,0.2,RNA004926,EVE22,exRNAQC005,3,RNA004926,DNA Streck,TUBE2,MIR0.2,STRD72
RNA004927L1,17310,47543,6780,355594,7.0122418879056,2.74656268053148,52.4474926253687,20.5426920854997,EVE23,0.0327,RNA004927,EVE23,exRNAQC005,3,RNA004927,Citrate,TUBE2,MIR0.2,CITR00
RNA004928L1,25475,108875,9229,526024,11.7970527684473,4.27379784102061,56.9968577310651,20.6486359175662,EVE24,0.025,RNA004928,EVE24,exRNAQC005,3,RNA004928,Citrate,TUBE3,MIR0.2,CITR00
